year, pop,forest,undern,temp,pol,inf,exp,crop_area_t,crop_area_f,crop_pro_t,crop_pro_f,crop_y,pes,prep,gdp,import,flood
1988,3263019,,,11.95,,,,,,,,,,1068.88,805.05,,
1989,3282182,,,11.55,,,,,,,,,,1072.01,860.78,,
1990,3295066,28.78832117,,12.28,,,,,,,,176310,726,958.69,675.74,,
1991,3302081,28.71715329,,11.23,,,,,,,,168855,726,1143.45,408.02,,
1992,3303739,28.6459854,,11.82,,226.0054213,,,,,,180438,726,985.3,259.75,,5620
1993,3300711,28.57481752,,11.78,,85.00475124,,,,,,202391,605,1081.49,452.62,,
1994,3293999,28.50364964,,12.75,,22.56505269,,,,,,139924,804,924.33,736.03,,
1995,3284364,28.43248175,,11.59,,7.793218538,,,,,,183117,1004,1386.94,903.99,,78
1996,3271331,28.36131387,,11.33,57.44680786,12.72547781,9244.9,,,,,175963,1255.84,1495.28,1009.97,,
1997,3253719,28.29014599,,11.57,,33.18027438,8889.757,,,,,183020,1507.72,967.05,717.38,,
1998,3232175,28.2189781,,12.19,48.40425491,20.64285887,12378.922,274120,145743,1375303,3843948,202992,1759.56,1243.78,818.32,,
1999,3208260,28.14781022,,12.46,,0.389437654,14073.671,244569,157726,1297046,4494000,221570,2011.44,1292.95,1032.26,,
2000,3182021,28.07664234,,12.73,50.79365158,0.050018136,13804.407,245881,165046,1372353,4730000,225494,2263.28,982.46,1127.64,,
2001,3153612,28.12324818,4.9,12.46,,3.10758827,13876.117,229424,164275,1340063,4750000,235173,2515.16,1158.26,1283.57,,
2002,3123551,28.16985402,6.1,12.54,57.67195892,7.770525834,7276.469,219575,170611,1373329,4716000,244945,2767,1256.02,1425.12,47,11920
2003,3092991,28.21645985,7.5,12.41,51.25628281,0.484002612,18949.436,214243,182306,1340164,4986000,,,1177.15,1846.12,49.2,
2004,3062622,28.26306569,8.6,12.1,48.54368973,2.280019169,27526.936,204142,176362,1358999,5094000,240006,3270.72,1495.49,2373.58,51.7,430
2005,3032634,28.30967153,8.9,11.66,45.63106918,2.366581957,30175.309,206807,191145,1389656,5197000,261585,3522.56,1479.24,2673.77,51,10410
2006,3003387,28.35627737,8.8,12.08,42.99517059,2.370728319,33695.153,198714,194969,1382241,5222000,271643,3774.44,1094.5,2972.74,50.9,
2007,2976084,28.40288321,8.3,12.74,50.72463608,2.932682482,40100.435,183352,200091,1341398,4954000,291130,4026.28,1082.78,3595.05,50.6,
2008,2951689,28.44948905,7.3,12.84,57.69230652,3.320870904,30024.323,203003,194116,1536218,5333000,304046,4278.16,1102.71,4370.56,48.6,
2009,2930541,28.49609489,6.3,12.69,57.34597015,2.266922095,32093.892,199820,199574,1583208,5326000,332369,4530,1513.55,4114.09,45.5,
2010,2913399,28.54270073,5.8,12.6,52.13270187,3.626046956,35041.471,199428,201831,1786742,5429000,354473,5244.68,1893.46,4097.83,41.8,
2011,2900654,28.59465329,5.4,12.39,50.23696518,3.429123247,39958.59,202508,203692,1847295,5900000,362900,5210.52,856.31,4439.89,40.6,
2012,2892193,28.64660584,5.1,12.89,53.55450058,2.031592684,41861.054,198218,208883,1871460,5949845,372257,3065,1365.26,4248.91,40.2,
2013,2887014,28.69855839,5,12.9,62.55924225,1.937620802,56046.22,195584,215323,1891945,6048000,380935,3929.28,1396.04,4415.6,40.2,
2014,2884102,28.75051095,5,12.93,74.2857132,1.625865044,36660.411,197967,204176,1920721,6100000,,,1392.78,4584.92,39.6,
2015,2882481,28.8024635,4.9,12.87,67.14286041,1.896174026,44080.099,198914,207329,1999034,6000000,,,1151.62,3953.61,39.1,11409.69
2016,2881063,28.80218978,4.7,12.9,69.04762268,1.275431684,64916.336,202872,208610,2091367,6143688,,,1529.08,4124.4,38.2,16543.1
2017,2879355,28.79206204,4.7,12.75,70.47618866,1.986661332,90336.43729,200938,215677,2125164,6688609,,,1159.3,4525.89,37.8,10463.39
2018,2877013,28.7919708,4.6,13.43,69.3396225,2.028059631,107182.092,195151,217446,2124308,7050105,,,1518.43,5257.71,38.4,10316.95
2019,2873883,28.7919708,4.3,13.33,60.84905624,1.41109079,118291.7054,189174,220083,2210124,7115234,,,1266.27,5345.06,,
2020,2866849,28.7919708,3.9,13.07,60.84905624,1.620886617,120586.4348,188030,225024,2260838,7170585,,,1143.64,5278.99,,
2021,2854710,28.7919708,,12.89,63.679245,2.041471631,154831.1928,191741,219704,2311224,7054033,,,,6259.76,,
2022,2842321,,,13.31,60.84905624,6.725202715,,189778,217660,2333808,7138798,,,,6657.64,,